                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98292,                0.59483,                 1.0691,                0.95005,                 0.9134,                0.96873,                0.69154,                 1.2555,                0.70191,                 1.2688,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0083,                0.61186,                 1.0757,                 0.9393,                0.91912,                0.96706,                0.70929,                 1.2273,                0.68496,                 1.2447,               0.000614,               0.000614,               0.000614
                     37,                0.98995,                0.59092,                 1.0568,                0.95438,                 0.9166,                0.97056,                0.68067,                 1.2601,                0.69036,                 1.2966,              0.0005744,              0.0005744,              0.0005744
                     38,                0.99682,                0.59974,                 1.0744,                0.94941,                0.91702,                0.96945,                0.70414,                 1.2368,                0.69916,                  1.274,              0.0005348,              0.0005348,              0.0005348
                     39,                0.96234,                0.56737,                 1.0535,                0.95591,                0.91238,                0.97066,                0.72308,                  1.237,                0.67633,                 1.2848,              0.0004952,              0.0004952,              0.0004952
                     40,                0.94716,                0.55655,                 1.0481,                0.94858,                0.91688,                0.96889,                0.73194,                 1.1878,                0.66864,                 1.2341,              0.0004556,              0.0004556,              0.0004556
                     41,                0.95176,                0.53731,                 1.0572,                0.93534,                0.92611,                0.96994,                0.72688,                 1.1991,                0.67213,                 1.2421,               0.000416,               0.000416,               0.000416
                     42,                0.92043,                0.51277,                 1.0445,                0.93721,                0.93046,                0.96967,                0.71911,                  1.205,                0.67617,                 1.2628,              0.0003764,              0.0003764,              0.0003764
                     43,                0.88825,                0.48816,                 1.0275,                0.94925,                0.92671,                0.97182,                0.73316,                 1.1935,                0.65502,                  1.258,              0.0003368,              0.0003368,              0.0003368
                     44,                0.88249,                0.47737,                 1.0334,                 0.9523,                0.90831,                0.96581,                 0.7175,                 1.2284,                0.67006,                 1.2649,              0.0002972,              0.0002972,              0.0002972
                     45,                0.85802,                0.46967,                 1.0127,                0.94368,                0.93161,                0.97282,                0.74531,                  1.174,                0.63672,                 1.2254,              0.0002576,              0.0002576,              0.0002576
                     46,                0.85119,                0.46597,                 1.0176,                0.94531,                0.93203,                 0.9708,                0.74586,                 1.1576,                0.62728,                 1.2184,               0.000218,               0.000218,               0.000218
                     47,                0.82084,                0.45131,                 1.0038,                0.94219,                0.93429,                0.97216,                0.74498,                 1.1827,                 0.6355,                 1.2453,              0.0001784,              0.0001784,              0.0001784
                     48,                0.81131,                0.44383,                0.99267,                0.95651,                0.91491,                0.97111,                0.74332,                 1.1842,                0.62382,                 1.2481,              0.0001388,              0.0001388,              0.0001388
                     49,                0.79541,                 0.4411,                0.98669,                0.94084,                0.93791,                0.97101,                0.75409,                 1.1569,                0.60949,                 1.2271,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.78503,                0.42641,                0.97947,                0.94452,                0.93233,                0.96955,                0.74929,                 1.1674,                0.61263,                 1.2537,               5.96e-05,               5.96e-05,               5.96e-05
